Capitals|What is the capital city of Afghanistan?|Kabul
Capitals|What is the capital city of Albania?|Tirana
Capitals|What is the capital city of Algeria?|Algiers
Capitals|What is the capital city of Argentina?|Buenos Aires
Capitals|What is the capital city of Australia?|Canberra
Capitals|What is the capital city of Austria?|Vienna
Capitals|What is the capital city of Bangladesh?|Dhaka
Capitals|What is the capital city of Belgium?|Brussels
Capitals|What is the capital city of Brazil?|Brasília
Capitals|What is the capital city of Canada?|Ottawa
Capitals|What is the capital city of China?|Beijing
Capitals|What is the capital city of Colombia?|Bogotá
Capitals|What is the capital city of Czech Republic?|Prague
Capitals|What is the capital city of Egypt?|Cairo
Capitals|What is the capital city of France?|Paris
Capitals|What is the capital city of Germany?|Berlin
Capitals|What is the capital city of Greece?|Athens
Capitals|What is the capital city of Hungary?|Budapest
Capitals|What is the capital city of India?|New Delhi
Capitals|What is the capital city of Indonesia?|Jakarta
Capitals|What is the capital city of Iran?|Tehran
Capitals|What is the capital city of Italy?|Rome
Capitals|What is the capital city of Japan?|Tokyo
Capitals|What is the capital city of Kenya?|Nairobi
Capitals|What is the capital city of Malaysia?|Kuala Lumpur
Capitals|What is the capital city of Mexico?|Mexico City
Capitals|What is the capital city of Netherlands?|Amsterdam
Capitals|What is the capital city of New Zealand?|Wellington
Capitals|What is the capital city of Nigeria?|Abuja
Capitals|What is the capital city of Pakistan?|Islamabad
Capitals|What is the capital city of Peru?|Lima
Capitals|What is the capital city of Philippines?|Manila
Capitals|What is the capital city of Poland?|Warsaw
Capitals|What is the capital city of Portugal?|Lisbon
Capitals|What is the capital city of Russia?|Moscow
Capitals|What is the capital city of Saudi Arabia?|Riyadh
Capitals|What is the capital city of South Africa?|Pretoria (executive), Cape Town (legislative), Bloemfontein (judicial)
Capitals|What is the capital city of South Korea?|Seoul
Capitals|What is the capital city of Spain?|Madrid
Capitals|What is the capital city of Sweden?|Stockholm
Capitals|What is the capital city of Switzerland?|Bern
Capitals|What is the capital city of Thailand?|Bangkok
Capitals|What is the capital city of Turkey?|Ankara
Capitals|What is the capital city of Ukraine?|Kyiv
Capitals|What is the capital city of United Arab Emirates?|Abu Dhabi
Capitals|What is the capital city of United Kingdom?|London
Capitals|What is the capital city of United States?|Washington, D.C.
Capitals|What is the capital city of Vietnam?|Hanoi
