English to Polish|Hello|Cześć
English to Polish|Goodbye|Do widzenia
English to Polish|Thank you|Dziękuję
English to Polish|Please|Proszę
English to Polish|Sorry|Przepraszam
English to Polish|Yes|Tak
English to Polish|No|Nie
English to Polish|Friend|Przyjaciel
English to Polish|Family|Rodzina
English to Polish|Home|Dom
English to Polish|Food|Jedzenie
English to Polish|Water|Woda
English to Polish|Love|Miłość
English to Polish|Time|Czas
English to Polish|Money|Pieniądze
English to Polish|Work|Praca
English to Polish|School|Szkoła
English to Polish|Book|Książka
English to Polish|Music|Muzyka
English to Polish|Movie|Film
English to Polish|Travel|Podróżować
English to Polish|Beautiful|Piękny
English to Polish|Happy|Szczęśliwy
English to Polish|Sad|Smutny
English to Polish|Big|Duży
English to Polish|Small|Mały
English to Polish|Hot|Gorący
English to Polish|Cold|Zimny
English to Polish|Fast|Szybki
English to Polish|Slow|Wolny
English to Polish|Strong|Mocny
